DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2022,ES,1,ES21,1,872.94441,1,1,1
2022,ES,2,ES21,1,1500.92078,1,1,1
2022,ES,3,ES21,1,2334.07365,1,1,1
2022,ES,4,ES21,1,973.78430,1,1,1
2022,ES,5,ES21,1,955.69485,1,1,1
2022,ES,6,ES21,1,1571.21374,1,1,1
2022,ES,7,ES21,1,888.14351,1,1,1
2022,ES,8,ES21,1,886.84409,1,1,1
2022,ES,9,ES42,1,342.96438,1,1,1
2022,ES,10,ES42,1,497.29361,1,1,1
2022,ES,11,ES42,1,964.42612,1,1,1
2022,ES,12,ES42,1,721.10456,1,3,1
2022,ES,13,ES42,1,603.20818,1,3,1
2022,ES,14,ES42,1,513.46574,1,3,1
2022,ES,15,ES42,1,596.10733,1,3,1
2022,ES,17,ES42,1,712.92968,1,3,1
2022,ES,18,ES42,1,1642.22682,1,3,1
2022,ES,20,ES42,1,1015.36992,1,3,1
2022,ES,21,ES42,1,1745.19180,1,3,1
2022,ES,22,ES42,1,433.11313,1,3,1
2022,ES,23,ES42,1,627.67045,1,3,1
2022,ES,24,ES42,1,627.67045,1,3,1
2022,ES,25,ES42,1,1289.41427,1,3,1
2022,ES,26,ES42,1,532.58472,1,2,1
2022,ES,27,ES42,1,678.23201,1,2,1
2022,ES,28,ES42,1,817.59659,1,2,1
2022,ES,29,ES42,1,736.45852,1,2,1
2022,ES,30,ES42,1,492.60502,1,2,1
2022,ES,32,ES42,1,664.74051,1,2,1
2022,ES,33,ES52,1,986.77914,1,2,1
2022,ES,34,ES52,1,1655.65935,1,1,1
2022,ES,35,ES52,1,2245.98628,1,1,1
2022,ES,36,ES52,1,783.50239,1,1,1
2022,ES,37,ES52,1,368.12564,1,1,1
2022,ES,39,ES52,1,1395.66673,1,1,1
2022,ES,40,ES52,1,1492.51411,1,1,1
2022,ES,42,ES52,1,1106.08245,1,1,1
2022,ES,43,ES52,1,2196.15755,1,1,1
2022,ES,44,ES52,1,1712.29596,1,1,1
2022,ES,45,ES52,1,1690.57600,1,1,1
2022,ES,46,ES52,1,1711.39850,1,1,1
