DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2021,ES,154,ES61,1,1725.24987,1,2,1
2021,ES,155,ES61,1,2782.76835,1,3,1
2021,ES,157,ES61,1,2093.55336,1,3,1
2021,ES,158,ES61,1,3694.63117,1,3,1
2021,ES,159,ES61,1,1892.85275,1,3,1
2021,ES,161,ES61,1,4103.22493,1,2,1
2021,ES,162,ES61,1,12241.68122,1,2,1
2021,ES,163,ES61,1,2888.74792,1,2,1
2021,ES,165,ES61,1,2276.45403,1,2,1
2021,ES,166,ES41,1,2472.44402,1,1,1
2021,ES,167,ES41,1,2804.95131,1,1,1
2021,ES,168,ES41,1,754.55689,1,1,1
2021,ES,169,ES41,1,1801.33885,1,1,1
2021,ES,170,ES41,1,1267.56850,1,1,1
2021,ES,171,ES41,1,1114.71620,1,1,1
2021,ES,172,ES41,1,1599.96248,1,1,1
2021,ES,175,ES41,1,2857.97802,1,3,1
2021,ES,176,ES41,1,855.89887,1,3,1
2021,ES,177,ES41,1,2643.74238,1,3,1
2021,ES,178,ES41,1,1996.79104,1,3,1
2021,ES,179,ES43,1,498.00047,1,3,1
2021,ES,180,ES43,1,962.26882,1,3,1
2021,ES,181,ES43,1,376.60557,1,3,1
2021,ES,182,ES43,1,534.91209,1,3,1
2021,ES,183,ES43,1,683.59729,1,3,1
2021,ES,184,ES43,1,360.23599,1,3,1
2021,ES,185,ES43,1,455.03413,1,3,1
2021,ES,186,ES43,1,1260.81743,1,3,1
2021,ES,187,ES43,1,462.14680,1,3,1
2021,ES,188,ES43,1,898.14923,1,1,1
2021,ES,189,ES43,1,610.67423,1,1,1
2021,ES,190,ES43,1,529.93474,1,1,1
2021,ES,191,ES43,1,342.31128,1,1,1
2021,ES,192,ES43,1,729.95786,1,1,1
2021,ES,193,ES43,1,1025.24413,1,1,1
2021,ES,194,ES43,1,480.23944,1,1,1
2021,ES,195,ES43,1,455.13831,1,1,1
2021,ES,196,ES43,1,460.02252,1,1,1
2021,ES,197,ES43,1,1261.14246,1,1,1
2021,ES,198,ES43,1,611.47937,1,1,1
2021,ES,199,ES43,1,720.71209,1,1,1
2021,ES,200,ES43,1,907.78909,1,1,1
2021,ES,201,ES43,1,800.64077,1,1,1
2021,ES,202,ES43,1,929.86494,1,1,1
2021,ES,203,ES43,1,468.86549,1,1,1
2021,ES,204,ES43,1,289.23781,1,3,1
2021,ES,205,ES43,1,1195.35167,1,3,1
2021,ES,206,ES43,1,614.51694,1,3,1
2021,ES,207,ES43,1,441.29871,1,3,1
2021,ES,208,ES43,1,931.86835,1,3,1
2021,ES,209,ES43,1,351.19905,1,3,1
2021,ES,210,ES43,1,412.58355,1,3,1
2021,ES,211,ES43,1,805.85708,1,3,1
2021,ES,212,ES43,1,433.49308,1,3,1
2021,ES,213,ES43,1,775.44052,1,3,1
2021,ES,214,ES43,1,454.91328,1,3,1
2021,ES,215,ES43,1,1037.68485,1,3,1
2021,ES,216,ES43,1,1399.98293,1,3,1
2021,ES,217,ES43,1,1300.39520,1,3,1
2021,ES,218,ES43,1,1395.82162,1,3,1
2021,ES,219,ES43,1,383.11672,1,3,1
2021,ES,220,ES43,1,522.08262,1,3,1
2021,ES,221,ES43,1,629.33136,1,3,1
2021,ES,222,ES43,1,506.35973,1,3,1
2021,ES,223,ES43,1,1239.37335,1,3,1
2021,ES,224,ES43,1,5316.42661,1,2,1
2021,ES,226,ES43,1,869.78436,1,2,1
2021,ES,227,ES43,1,363.82503,1,2,1
2021,ES,228,ES43,1,340.99056,1,2,1
2021,ES,229,ES43,1,578.35591,1,2,1
2021,ES,230,ES43,1,1395.82162,1,2,1
2021,ES,231,ES43,1,741.89672,1,2,1
2021,ES,232,ES43,1,1467.96359,1,1,1
2021,ES,233,ES43,1,818.74324,1,1,1
2021,ES,235,ES43,1,1024.89250,1,1,1
2021,ES,236,ES43,1,1278.44347,1,1,1
2021,ES,237,ES43,1,2619.78813,1,1,1
2021,ES,238,ES43,1,2184.94012,1,2,1
2021,ES,240,ES43,1,494.66282,1,2,1
2021,ES,241,ES43,1,1832.52858,1,2,1
2021,ES,242,ES43,1,210.16357,1,2,1
2021,ES,243,ES43,1,740.57200,1,2,1
2021,ES,244,ES43,1,502.53992,1,2,1
2021,ES,245,ES43,1,1576.41276,1,3,1
2021,ES,246,ES43,1,727.28173,1,3,1
2021,ES,247,ES43,1,1504.60186,1,3,1
2021,ES,249,ES43,1,546.25438,1,3,1
2021,ES,250,ES43,1,364.96417,1,3,1
2021,ES,251,ES43,1,700.45717,1,3,1
2021,ES,252,ES43,1,558.83352,1,3,1
2021,ES,253,ES43,1,569.39425,1,3,1
2021,ES,254,ES43,1,289.23781,1,3,1
2021,ES,256,ES43,1,394.93224,1,3,1
2021,ES,257,ES43,1,394.93224,1,3,1
2021,ES,258,ES43,1,343.52885,1,3,1
2021,ES,259,ES43,1,473.05885,1,3,1
2021,ES,260,ES43,1,1573.54307,1,3,1
2021,ES,261,ES43,1,417.55916,1,3,1
2021,ES,263,ES43,1,1043.92758,1,3,1
2021,ES,265,ES43,1,481.71378,1,3,1
2021,ES,266,ES43,1,560.96603,1,3,1
2021,ES,267,ES43,1,899.00562,1,3,1
2021,ES,268,ES53,1,124.72181,1,3,1
2021,ES,271,ES53,1,527.23901,1,3,1
2021,ES,272,ES53,1,868.37410,1,3,1
2021,ES,275,ES53,1,2388.64961,1,1,1
2021,ES,276,ES53,1,451.65399,1,1,1
2021,ES,279,ES53,1,1099.37440,1,1,1
2021,ES,280,ES52,1,1145.78595,1,1,1
2021,ES,281,ES53,1,3098.41996,1,1,1
2021,ES,282,ES53,1,844.29955,1,1,1
2021,ES,284,ES53,1,1283.19621,1,1,1
2021,ES,285,ES53,1,777.81594,1,1,1
2021,ES,286,ES53,1,1084.91308,1,2,1
2021,ES,288,ES53,1,4100.84616,1,2,1
2021,ES,289,ES53,1,613.71843,1,2,1
2021,ES,291,ES53,1,637.08630,1,2,1
2021,ES,292,ES53,1,706.78363,1,2,1
2021,ES,293,ES53,1,2666.10041,1,2,1
2021,ES,294,ES53,1,357.81543,1,2,1
2021,ES,295,ES53,1,127.81709,1,2,1
2021,ES,296,ES53,1,307.91855,1,2,1
2021,ES,297,ES53,1,3639.11342,1,2,1
2021,ES,298,ES53,1,6815.95074,1,2,1
2021,ES,300,ES53,1,348.51183,1,2,1
2021,ES,302,ES53,1,2487.85880,1,1,1
2021,ES,303,ES53,1,647.90695,1,1,1
2021,ES,304,ES53,1,1050.47918,1,1,1
2021,ES,305,ES53,1,542.40687,1,1,1
2021,ES,306,ES53,1,2544.33354,1,1,1
2021,ES,307,ES53,1,1408.65282,1,1,1
2021,ES,308,ES53,1,670.65396,1,1,1
2021,ES,309,ES53,1,5988.03819,1,1,1
2021,ES,310,ES53,1,2494.73505,1,1,1
2021,ES,312,ES53,1,1738.14555,1,1,1
2021,ES,316,ES53,1,1115.74771,1,1,1
2021,ES,318,ES53,1,274.06526,1,1,1
2021,ES,319,ES53,1,198.52287,1,1,1
2021,ES,320,ES53,1,572.67759,1,1,1
2021,ES,321,ES53,1,4068.90517,1,1,1
2021,ES,322,ES53,1,760.98568,1,1,1
2021,ES,324,ES53,1,162.91484,1,1,1
2021,ES,325,ES53,1,1380.31902,1,1,1
2021,ES,326,ES53,1,1550.83081,1,1,1
2021,ES,329,ES53,1,1618.22927,1,1,1
2021,ES,330,ES53,1,1656.98393,1,1,1
2021,ES,331,ES53,1,763.45596,1,1,1
2021,ES,333,ES53,1,3630.53412,1,1,1
2021,ES,336,ES53,1,200.21969,1,1,1
2021,ES,337,ES53,1,968.85002,1,1,1
2021,ES,338,ES53,1,3286.43698,1,2,1
2021,ES,339,ES53,1,1300.79206,1,2,1
2021,ES,340,ES53,1,472.22333,1,2,1
2021,ES,341,ES53,1,1190.65917,1,2,1
2021,ES,342,ES53,1,4256.66406,1,2,1
2021,ES,343,ES53,1,2626.41851,1,2,1
2021,ES,345,ES53,1,2939.54698,1,2,1
2021,ES,347,ES53,1,281.86801,1,2,1
2021,ES,348,ES53,1,700.69795,1,2,1
2021,ES,351,ES53,1,10684.74682,1,2,1
2021,ES,353,ES53,1,1162.87470,1,3,1
2021,ES,354,ES53,1,411.98705,1,3,1
2021,ES,356,ES53,1,763.41073,1,2,1
2021,ES,357,ES53,1,2583.57647,1,2,1
2021,ES,358,ES53,1,1107.19034,1,2,1
2021,ES,359,ES53,1,1023.92610,1,2,1
2021,ES,362,ES51,1,2537.05331,1,1,1
2021,ES,363,ES51,1,3263.04168,1,1,1
2021,ES,365,ES51,1,6214.67323,1,1,1
2021,ES,366,ES51,1,5951.11788,1,1,1
2021,ES,367,ES51,1,4010.03472,1,1,1
2021,ES,368,ES51,1,2058.49501,1,1,1
2021,ES,369,ES51,1,3861.27563,1,1,1
2021,ES,370,ES51,1,3723.71002,1,1,1
2021,ES,372,ES51,1,4718.97810,1,1,1
2021,ES,373,ES51,1,3693.33705,1,1,1
2021,ES,374,ES61,1,4950.68118,1,1,1
2021,ES,376,ES51,1,2931.45232,1,1,1
2021,ES,377,ES51,1,4341.96057,1,1,1
2021,ES,378,ES51,1,2058.83753,1,1,1
2021,ES,379,ES51,1,3442.43388,1,1,1
2021,ES,380,ES51,1,2914.74887,1,1,1
2021,ES,381,ES51,1,2648.80953,1,1,1
2021,ES,382,ES51,1,3108.35910,1,1,1
2021,ES,384,ES51,1,2609.62063,1,1,1
2021,ES,385,ES51,1,3950.75260,1,1,1
2021,ES,386,ES51,1,2796.86327,1,1,1
2021,ES,388,ES51,1,4454.67065,1,1,1
2021,ES,389,ES51,1,3570.78417,1,1,1
2021,ES,391,ES51,1,6628.30383,1,1,1
2021,ES,392,ES51,1,2832.63952,1,1,1
2021,ES,393,ES51,1,3693.33705,1,1,1
2021,ES,394,ES51,1,2615.85174,1,1,1
2021,ES,396,ES51,1,3407.95611,1,1,1
2021,ES,397,ES51,1,5443.41885,1,1,1
2021,ES,398,ES51,1,4998.20280,1,1,1
2021,ES,399,ES51,1,5516.60691,1,1,1
2021,ES,400,ES51,1,3231.24883,1,1,1
2021,ES,401,ES51,1,2058.83753,1,1,1
2021,ES,402,ES51,1,3249.81820,1,2,1
2021,ES,403,ES51,1,3647.58930,1,2,1
2021,ES,404,ES51,1,5577.91658,1,2,1
2021,ES,405,ES51,1,2249.96481,1,2,1
2021,ES,406,ES51,1,2461.55486,1,2,1
2021,ES,407,ES51,1,3931.31310,1,2,1
2021,ES,409,ES51,1,3675.99668,1,2,1
2021,ES,411,ES51,1,3535.14276,1,1,1
2021,ES,413,ES51,1,3712.84029,1,1,1
2021,ES,414,ES51,1,2280.32219,1,1,1
2021,ES,415,ES51,1,6331.81916,1,2,1
2021,ES,416,ES51,1,2820.22768,1,2,1
2021,ES,417,ES51,1,3069.18903,1,2,1
2021,ES,419,ES51,1,2492.77337,1,2,1
2021,ES,420,ES51,1,3295.40952,1,2,1
2021,ES,423,ES51,1,3422.81718,1,2,1
2021,ES,424,ES51,1,3708.08318,1,2,1
2021,ES,426,ES51,1,2421.46106,1,1,1
2021,ES,427,ES51,1,3161.86796,1,1,1
2021,ES,428,ES51,1,4399.04968,1,1,1
2021,ES,429,ES51,1,3667.48034,1,1,1
2021,ES,430,ES51,1,3960.46909,1,1,1
2021,ES,431,ES51,1,3792.63626,1,1,1
2021,ES,432,ES51,1,3962.55987,1,1,1
2021,ES,433,ES51,1,4233.11991,1,1,1
2021,ES,438,ES61,1,3402.22779,1,2,1
2021,ES,440,ES51,1,2889.54364,1,1,1
2021,ES,441,ES51,1,8590.12371,1,1,1
2021,ES,442,ES51,1,4352.80494,1,1,1
2021,ES,443,ES51,1,2889.54364,1,1,1
2021,ES,444,ES51,1,5387.88745,1,1,1
2021,ES,445,ES51,1,1722.76970,1,1,1
2021,ES,447,ES51,1,2281.98653,1,1,1
2021,ES,448,ES51,1,3059.83084,1,1,1
2021,ES,449,ES51,1,3065.34624,1,1,1
2021,ES,450,ES51,1,4432.36493,1,1,1
2021,ES,451,ES51,1,3654.59088,1,2,1
2021,ES,452,ES51,1,14197.86488,1,1,1
2021,ES,453,ES51,1,5660.87537,1,1,1
2021,ES,454,ES51,1,4252.58125,1,1,1
2021,ES,455,ES51,1,4278.97067,1,1,1
2021,ES,457,ES51,1,4743.85958,1,1,1
2021,ES,458,ES51,1,3498.01681,1,1,1
2021,ES,459,ES51,1,5380.45658,1,1,1
2021,ES,460,ES51,1,5082.15976,1,1,1
2021,ES,461,ES51,1,3697.49191,1,1,1
2021,ES,465,ES51,1,5125.34232,1,3,1
2021,ES,467,ES51,1,6803.84698,1,3,1
2021,ES,470,ES51,1,2061.68659,1,3,1
2021,ES,471,ES51,1,5604.92634,1,3,1
2021,ES,472,ES51,1,2796.29961,1,3,1
2021,ES,473,ES51,1,4445.81356,1,3,1
2021,ES,475,ES51,1,4217.68300,1,2,1
2021,ES,476,ES51,1,2396.94557,1,2,1
2021,ES,477,ES51,1,3305.49467,1,2,1
2021,ES,478,ES51,1,4558.26149,1,2,1
2021,ES,479,ES51,1,2795.42737,1,1,1
2021,ES,480,ES51,1,2490.01388,1,1,1
2021,ES,481,ES51,1,4244.24451,1,1,1
2021,ES,482,ES51,1,3140.38433,1,1,1
2021,ES,483,ES51,1,2619.66580,1,1,1
2021,ES,485,ES51,1,3397.72237,1,2,1
2021,ES,486,ES51,1,3963.28729,1,2,1
2021,ES,487,ES51,1,1550.60724,1,1,1
2021,ES,488,ES51,1,3448.51835,1,2,1
2021,ES,489,ES51,1,2963.50008,1,2,1
2021,ES,490,ES51,1,2178.70133,1,2,1
2021,ES,491,ES51,1,5654.08566,1,2,1
2021,ES,493,ES51,1,2300.10819,1,1,1
2021,ES,494,ES51,1,3814.86175,1,1,1
2021,ES,497,ES51,1,2471.11425,1,1,1
2021,ES,498,ES51,1,3467.72304,1,1,1
2021,ES,499,ES51,1,2858.86147,1,1,1
2021,ES,500,ES51,1,3296.15878,1,1,1
2021,ES,501,ES51,1,2981.38685,1,1,1
2021,ES,503,ES51,1,3570.12141,1,1,1
2021,ES,505,ES51,1,3561.58006,1,1,1
2021,ES,508,ES51,1,5606.67094,1,1,1
2021,ES,510,ES51,1,2049.01042,1,1,1
2021,ES,511,ES51,1,3696.15406,1,1,1
2021,ES,512,ES51,1,7123.19192,1,1,1
2021,ES,514,ES51,1,11397.61370,1,1,1
2021,ES,515,ES51,1,2714.71534,1,1,1
2021,ES,516,ES51,1,7482.04824,1,1,1
2021,ES,517,ES51,1,3121.77065,1,1,1
2021,ES,518,ES51,1,3047.03905,1,1,1
2021,ES,519,ES51,1,2492.77337,1,1,1
2021,ES,520,ES51,1,3755.11069,1,1,1
2021,ES,521,ES51,1,3496.55264,1,1,1
2021,ES,522,ES51,1,3755.11069,1,1,1
2021,ES,524,ES51,1,5206.84848,1,1,1
2021,ES,525,ES51,1,3476.77655,1,1,1
2021,ES,526,ES51,1,4748.49485,1,1,1
2021,ES,527,ES51,1,3382.70373,1,1,1
2021,ES,528,ES51,1,1895.14508,1,1,1
2021,ES,530,ES51,1,10315.04159,1,1,1
2021,ES,531,ES51,1,7139.01045,1,1,1
2021,ES,532,ES51,1,4097.32087,1,1,1
2021,ES,533,ES51,1,2562.82516,1,1,1
2021,ES,534,ES51,1,4701.21994,1,2,1
2021,ES,535,ES51,1,5400.89807,1,2,1
2021,ES,536,ES51,1,3229.20596,1,2,1
2021,ES,537,ES51,1,3144.82135,1,2,1
2021,ES,538,ES41,1,915.84014,1,1,1
2021,ES,539,ES41,1,1183.76646,1,1,1
2021,ES,540,ES41,1,454.98215,1,1,1
2021,ES,541,ES41,1,824.94656,1,1,1
2021,ES,543,ES43,1,3536.98806,1,3,1
2021,ES,544,ES41,1,1393.06451,1,3,1
2021,ES,545,ES41,1,1333.45152,1,3,1
2021,ES,546,ES41,1,2347.56035,1,3,1
2021,ES,547,ES41,1,2487.10755,1,3,1
2021,ES,548,ES41,1,1947.74863,1,3,1
2021,ES,549,ES41,1,5479.72113,1,3,1
2021,ES,551,ES41,1,1029.32174,1,1,1
2021,ES,552,ES41,1,2797.25164,1,3,1
2021,ES,553,ES41,1,1553.18286,1,3,1
2021,ES,554,ES41,1,1784.79814,1,3,1
2021,ES,555,ES41,1,2206.34394,1,3,1
2021,ES,556,ES41,1,1676.19440,1,3,1
2021,ES,557,ES41,1,1938.83728,1,3,1
2021,ES,558,ES41,1,1707.98235,1,3,1
2021,ES,559,ES41,1,1600.92261,1,3,1
2021,ES,560,ES41,1,870.33369,1,3,1
2021,ES,561,ES41,1,1625.88778,1,3,1
